ID аниме,Название на русском,Название на английском,Статус,Тип,Жанры,Количество эпизодов,Оценка пользователей,Год выхода,Возрастное ограничение
73,Стальная тревога! Новый рейд,Full Metal Panic! The Second Raid,Вышло,TV Сериал,Экшен;Меха;Военное,13,7.92,2005,0
74,Школа Элис,Gakuen Alice,Вышло,TV Сериал,Сёдзё;Комедия;Фэнтези;Любовный многоугольник;Школа;Супер сила,26,7.64,2004,0
75,Небесный Фафнир: Мёртвый агрессор,Soukyuu no Fafner: Dead Aggressor,Вышло,TV Сериал,Экшен;Драма;Фантастика;Меха;Военное,25,7.26,2004,13
76,Лиричная волшебница Наноха,Mahou Shoujo Lyrical Nanoha,Вышло,TV Сериал,Экшен;Комедия;Драма;Фэнтези;Махо-сёдзё,13,7.41,2004,13
77,Лиричная волшебница Наноха: Ас,Mahou Shoujo Lyrical Nanoha A's,Вышло,TV Сериал,Экшен;Комедия;Драма;Фэнтези;Махо-сёдзё,13,7.95,2005,13
79,Шафл!,Shuffle!,Вышло,TV Сериал,Комедия;Драма;Фэнтези;Романтика;Этти;Гарем;Школа,24,7.01,2005,18
83,Мобильный воин Гандам: Восьмой взвод МС — Отчёт Миллер,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Вышло,Фильм,Драма;Романтика;Фантастика;Меха;Военное,1,6.74,1998,13
85,Мобильный воин Гандам Зета,Kidou Senshi Zeta Gundam,Вышло,TV Сериал,Экшен;Драма;Романтика;Фантастика;Меха;Военное;Космос,50,7.88,1985,13
88,Мобильный воин Гандам Эф-91,Kidou Senshi Gundam F91,Вышло,Фильм,Экшен;Драма;Фантастика;Меха;Военное;Космос,1,6.6,1991,13
89,Мобильный воин Гандам Виктория,Kidou Senshi Victory Gundam,Вышло,TV Сериал,Экшен;Драма;Фантастика;Меха;Военное;Космос,51,6.71,1993,13
90,Мобильный воин Гандам: Дубль-вэ,Shin Kidou Senki Gundam Wing,Вышло,TV Сериал,Экшен;Драма;Фантастика;Меха;Военное;Космос,49,7.67,1995,13
92,Мобильный воин Гандам Икс: После войны,Kidou Shinseiki Gundam X,Вышло,TV Сериал,Экшен;Приключения;Драма;Фантастика;Меха;Космос,39,7.33,1996,13
94,Мобильный воин Гандам: Судьба поколения,Kidou Senshi Gundam SEED Destiny,Вышло,TV Сериал,Экшен;Драма;Романтика;Фантастика;Меха;Военное;Космос,50,7.17,2004,0
95,Гандам: Объединение,Turn A Gundam,Вышло,TV Сериал,Экшен;Приключения;Драма;Романтика;Фантастика;Удостоено наград;Меха;Военное;Космос,50,7.76,1999,13
96,Мобильный воин Джи-Гандам,Kidou Butouden G Gundam,Вышло,TV Сериал,Экшен;Драма;Романтика;Фантастика;Боевые искусства;Меха;Космос,49,7.57,1994,13
97,Изгнанник,Last Exile,Вышло,TV Сериал,Экшен;Приключения;Фантастика,26,7.78,2003,13
99,Май-Отомэ,Mai-Otome,Вышло,TV Сериал,Комедия;Драма;Фэнтези,26,7.27,2005,13
100,Легенда о новой Белоснежке Притиар,Shin Shirayuki-hime Densetsu Pretear,Вышло,TV Сериал,Сёдзё;Драма;Фэнтези;Романтика;Махо-сёдзё;Реверс-гарем;Супер сила,13,7.16,2001,13
101,Высь,Air,Вышло,TV Сериал,Драма;Романтика;Сверхъестественное,12,7.27,2005,13
102,Моя малышка,Aishiteruze Baby★★,Вышло,TV Сериал,Сёдзё;Комедия;Драма;Романтика;Забота о детях,26,7.44,2004,13
103,Красная шапочка Тятя,Akazukin Chacha,Вышло,TV Сериал,Сёдзё;Приключения;Комедия;Фэнтези;Романтика;Махо-сёдзё,74,7.4,1994,0
104,Подозрительная Церера,Ayashi no Ceres,Вышло,TV Сериал,Сёдзё;Приключения;Драма;Ужасы;Романтика;Сверхъестественное;Психологическое;Реинкарнация,24,7.18,2000,0
105,Мальчишки есть мальчишки,Boys Be...,Вышло,TV Сериал,Сёнен;Комедия;Романтика;Школа,13,6.39,2000,13
106,Сначала парни — потом цветы,Hana yori Dango,Вышло,TV Сериал,Сёдзё;Драма;Романтика;Любовный многоугольник;Школа,51,7.58,1996,13
107,Приключения Джинга,Ou Dorobou Jing,Вышло,TV Сериал,Сёнен;Приключения;Комедия;Фэнтези;Фантастика,13,7.18,2002,13
110,Мастер кулинарии,Chuuka Ichiban!,Вышло,TV Сериал,Сёнен;Экшен;Комедия;Драма;Гурман,52,7.59,1997,13
111,Корректор Юи,Corrector Yui,Вышло,TV Сериал,Приключения;Комедия;Фантастика,52,6.86,1999,0
113,Космическая Стеллвия,Uchuu no Stellvia,Вышло,TV Сериал,Экшен;Романтика;Фантастика;Меха;Космос,26,7.33,2003,13
115,Альтернативный мир Эль-Хазард,Ijigen no Sekai El-Hazard,Вышло,TV Сериал,Приключения;Комедия;Фэнтези;Исэкай,13,6.78,1998,13
116,Эль-Хазард: Странники,Shinpi no Sekai El-Hazard (TV),Вышло,TV Сериал,Приключения;Комедия;Фэнтези;Романтика;Исэкай,26,6.92,1995,13
119,Последняя попытка,Final Approach,Вышло,TV Сериал,Комедия;Драма;Романтика,13,6.51,2004,13
120,Корзинка фруктов,Fruits Basket,Вышло,TV Сериал,Сёдзё;Драма;Романтика;Сверхъестественное;Любовный многоугольник;Школа,26,7.69,2001,13
122,В поисках полной луны,Full Moon wo Sagashite,Вышло,TV Сериал,Сёдзё;Комедия;Драма;Романтика;Сверхъестественное;Музыка;Шоу-бизнес,52,7.93,2002,13
123,Таинственная игра,Fushigi Yuugi,Вышло,TV Сериал,Сёдзё;Экшен;Приключения;Фэнтези;Романтика;Исторический;Исэкай;Боевые искусства;Реверс-гарем,52,7.61,1995,13
125,Любовь близнецов,Futakoi,Вышло,TV Сериал,Комедия;Романтика;Школа,13,6.42,2004,13
126,Любовь близнецов: Альтернатива,Futakoi Alternative,Вышло,TV Сериал,Комедия;Драма;Романтика,13,6.85,2005,13
127,Хранители врат,Gate Keepers,Вышло,TV Сериал,Экшен;Комедия;Фэнтези;Фантастика;Меха,24,6.91,2000,13
129,Путешествие на Запад,Gensoumaden Saiyuuki,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Драма;Фэнтези;Мифология,50,7.54,2000,0
130,Саюки: Перезарядка,Saiyuuki Reload,Вышло,TV Сериал,Дзёсей;Экшен;Приключения;Комедия;Драма;Сверхъестественное;Мифология,25,7.36,2003,13
131,Саюки: Затвор,Saiyuuki Reload Gunlock,Вышло,TV Сериал,Дзёсей;Экшен;Приключения;Комедия;Драма;Сверхъестественное;Мифология,26,7.37,2004,13
133,Жаркое лето,Green Green,Вышло,TV Сериал,Комедия;Романтика;Этти;Школа,12,6.14,2003,18
134,Школа убийц,Gunslinger Girl,Вышло,TV Сериал,Экшен;Драма;Фантастика;Триллер;Военное;Психологическое,13,7.38,2003,0
135,Хикару и го,Hikaru no Go,Вышло,TV Сериал,Сёнен;Комедия;Драма;Сверхъестественное;Школа;Стратегические игры,75,8.07,2001,13
142,Воровка-камикадзе Жанна,Kamikaze Kaitou Jeanne,Вышло,TV Сериал,Сёдзё;Экшен;Драма;Тайна;Романтика;Сверхъестественное;Махо-сёдзё;Мифология;Реинкарнация,44,7.46,1999,13
144,Канон,Kanon,Вышло,TV Сериал,Драма;Романтика;Сверхъестественное,13,7.06,2002,0
146,Этот ужасный и прекрасный мир,Kono Minikuku mo Utsukushii Sekai,Вышло,TV Сериал,Комедия;Драма;Романтика;Фантастика;Этти,12,6.69,2004,18
147,Беспокойные сердца,Kimi ga Nozomu Eien,Вышло,TV Сериал,Драма;Романтика;Любовный многоугольник,14,7.17,2003,18
148,На север за алмазной пылью,Kita e.: Diamond Dust Drops,Вышло,TV Сериал,Драма;Романтика,12,6.55,2004,13
